WBS_Name,Activity_ID,Activity_Name,Duration_Days,Predecessor_ID,BOQ_Code,Crew_ID
1.1 Contract Mobilization & Site Establishment,A1000,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
1.1 Contract Mobilization & Site Establishment,A1010,Receive Notice to Proceed (NTP) / Letter of Acceptance (LOA),0,START,N/A,N/A
1.1 Contract Mobilization & Site Establishment,A1020,"Submit Contractual Guarantees (Performance Bond, Advance Payment Guarantee)",0,START,N/A,N/A
1.1 Contract Mobilization & Site Establishment,A1030,Submit Required Insurance Policies for Approval,5,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1040,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1050,Project Controls - Setup & Baseline Phase**,20,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1060,Develop and Finalise Project Controls Plan,10,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1070,Establish Work Breakdown Structure (WBS) and Organisational Breakdown Structure (OBS),10,A1060,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1080,Develop and Agree on Project Calendars,10,A1070,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1090,"Set up Document Management System (e.g., Aconex, ProjectWise)",10,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1100,Establish Document Control Procedures and Numbering System,10,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1110,"Set up Cost Management and Planning Systems (e.g., P6, Prism, SAP)",20,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1120,Develop Detailed Level 4 Baseline Programme,20,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1130,Resource and Cost Load the Baseline Programme,10,A1120,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1140,Conduct Baseline Programme Review and Validation Workshop,1,A1130,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1150,Submit Baseline Programme for Approval,0,A1140,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1160,Milestone: Baseline Programme Approved**,0,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1170,Establish Performance Measurement Baseline (PMB) for Cost & Schedule,0,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1180,Establish Change Management and Variation Control Procedure,10,A1170,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1190,"Project Controls - Execution, Monitoring & Control Phase (Level of Effort)**",-1,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1200,Perform Weekly Planning & Progress Update Cycle,-1,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1210,Prepare and Issue 4-Week Lookahead Programmes,-1,A1200,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1220,"Prepare and Issue Monthly Progress Report (including S-Curves, CPI/SPI)",-1,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1230,Conduct Monthly Progress and Commercial Review Meetings,-1,A1270,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1240,Manage and Process Change Orders / Variations,-1,A1230,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1250,Maintain Programme Revisions and incorporate Approved Changes,-1,A1240,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1260,Perform Earned Value Management (EVM) Analysis,-1,START,N/A,N/A
"1.2 Project Controls (Planning, Cost, Document Control)",A1270,Maintain and Update Project Cost Forecast (Estimate at Completion - EAC),-1,A1260,N/A,N/A
