WBS_Name,Activity_ID,Activity_Name,Duration_Days,Predecessor
1.1 Contract Mobilization & Site Establishment,A1000,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
1.1 Contract Mobilization & Site Establishment,A1010,Receive Notice to Proceed (NTP) / Letter of Acceptance (LOA),1,START
1.1 Contract Mobilization & Site Establishment,A1020,"Submit Contractual Guarantees (Performance Bond, Advance Payment Guarantee)",1,START
1.1 Contract Mobilization & Site Establishment,A1030,Submit Required Insurance Policies for Approval,1,Receive Notice to Proceed (NTP) / Letter of Acceptance (LOA)
"1.2 Project Controls (Planning, Cost, Document Control)",A1040,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
"1.2 Project Controls (Planning, Cost, Document Control)",A1050,Project Controls - Setup & Baseline Phase**,1,START
"1.2 Project Controls (Planning, Cost, Document Control)",A1060,Develop and Finalise Project Controls Plan,1,START
"1.2 Project Controls (Planning, Cost, Document Control)",A1070,Establish Work Breakdown Structure (WBS) and Organisational Breakdown Structure (OBS),1,Develop and Finalise Project Controls Plan
"1.2 Project Controls (Planning, Cost, Document Control)",A1080,Develop and Agree on Project Calendars,1,Establish Work Breakdown Structure (WBS) and Organisational Breakdown Structure (OBS)
"1.2 Project Controls (Planning, Cost, Document Control)",A1090,"Set up Document Management System (e.g., Aconex, ProjectWise)",1,START
"1.2 Project Controls (Planning, Cost, Document Control)",A1100,Establish Document Control Procedures and Numbering System,1,Set up Document Management System (e.g.
"1.2 Project Controls (Planning, Cost, Document Control)",A1110,"Set up Cost Management and Planning Systems (e.g., P6, Prism, SAP)",1,START
"1.2 Project Controls (Planning, Cost, Document Control)",A1120,Develop Detailed Level 4 Baseline Programme,1,Set up Cost Management and Planning Systems (e.g.
"1.2 Project Controls (Planning, Cost, Document Control)",A1130,Resource and Cost Load the Baseline Programme,1,Develop Detailed Level 4 Baseline Programme
"1.2 Project Controls (Planning, Cost, Document Control)",A1140,Conduct Baseline Programme Review and Validation Workshop,1,Resource and Cost Load the Baseline Programme
"1.2 Project Controls (Planning, Cost, Document Control)",A1150,Submit Baseline Programme for Approval,1,Conduct Baseline Programme Review and Validation Workshop
"1.2 Project Controls (Planning, Cost, Document Control)",A1160,Milestone: Baseline Programme Approved**,1,START
"1.2 Project Controls (Planning, Cost, Document Control)",A1170,Establish Performance Measurement Baseline (PMB) for Cost & Schedule,1,Milestone: Baseline Programme Approved
"1.2 Project Controls (Planning, Cost, Document Control)",A1180,Establish Change Management and Variation Control Procedure,1,Develop and Finalise Project Controls Plan
"1.2 Project Controls (Planning, Cost, Document Control)",A1190,"Project Controls - Execution, Monitoring & Control Phase (Level of Effort)**",1,START
"1.2 Project Controls (Planning, Cost, Document Control)",A1200,Perform Weekly Planning & Progress Update Cycle,1,Establish Performance Measurement Baseline (PMB) for Cost & Schedule
"1.2 Project Controls (Planning, Cost, Document Control)",A1210,Prepare and Issue 4-Week Lookahead Programmes,1,Perform Weekly Planning & Progress Update Cycle
